what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode",1259148931747
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1259148931747
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1259148931747
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1259148931747
java.vm.specification.version,sysinfo,,,"1.0",1259148931747
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1259148931747
java.vm.version,sysinfo,,,"14.1-b02",1259148931747
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259148935608
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259148937301
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1259148940873
